[38392:40580:0901/110336.162:WARNING:chrome\browser\signin\account_consistency_mode_manager.cc:74] Desktop Identity Consistency cannot be enabled as no OAuth client ID and client secret have been configured.
[14852:29836:0901/110336.717:WARNING:ui\gl\direct_composition_support.cc:1211] QueryInterface to IDCompositionDevice4 failed: No such interface supported (0x80004002)
[38392:40772:0901/110337.205:WARNING:chrome\browser\media\router\discovery\discovery_network_list_win.cc:229] Failed to open WLAN handle: The service has not been started. (0x426)
[37992:26108:0901/110339.107:ERROR:net\socket\ssl_client_socket_impl.cc:963] handshake failed; returned -1, SSL error code 1, net_error -100
[37992:26108:0901/110339.305:ERROR:net\socket\ssl_client_socket_impl.cc:963] handshake failed; returned -1, SSL error code 1, net_error -100
[37992:26108:0901/110340.698:ERROR:net\socket\ssl_client_socket_impl.cc:963] handshake failed; returned -1, SSL error code 1, net_error -100
[37992:26108:0901/110340.916:ERROR:net\socket\ssl_client_socket_impl.cc:963] handshake failed; returned -1, SSL error code 1, net_error -100
[37992:26108:0901/110344.150:ERROR:net\socket\ssl_client_socket_impl.cc:963] handshake failed; returned -1, SSL error code 1, net_error -100
[37992:26108:0901/110344.328:ERROR:net\socket\ssl_client_socket_impl.cc:963] handshake failed; returned -1, SSL error code 1, net_error -100
[37992:26108:0901/110352.350:ERROR:net\socket\ssl_client_socket_impl.cc:963] handshake failed; returned -1, SSL error code 1, net_error -100
[37992:26108:0901/110352.407:ERROR:net\socket\ssl_client_socket_impl.cc:963] handshake failed; returned -1, SSL error code 1, net_error -100
[38392:40772:0901/110406.252:INFO:chrome\browser\extensions\extension_garbage_collector.cc:188] Garbage collection for extensions on file thread is complete.
[37992:26108:0901/110418.309:ERROR:net\socket\ssl_client_socket_impl.cc:963] handshake failed; returned -1, SSL error code 1, net_error -100
[37992:26108:0901/110418.364:ERROR:net\socket\ssl_client_socket_impl.cc:963] handshake failed; returned -1, SSL error code 1, net_error -100
[37992:26108:0901/110533.317:ERROR:net\socket\ssl_client_socket_impl.cc:963] handshake failed; returned -1, SSL error code 1, net_error -100
[37992:26108:0901/110533.373:ERROR:net\socket\ssl_client_socket_impl.cc:963] handshake failed; returned -1, SSL error code 1, net_error -100
[38392:40580:0901/110828.486:INFO:CONSOLE:10] "[jsonl] unknown entry type "atis-latch" — hidden (no renderer)", source: http://kamin.localhost/claudeBridgeChat (10)
[38392:40580:0901/110855.905:INFO:CONSOLE:24] "[MCP] 18139ed4-3181-4d90-b5fd-b99c9eeb6e59 pending Read [object Object]", source: http://kamin.localhost/claudeBridgeConsoleView (24)
[38392:40580:0901/110855.906:INFO:CONSOLE:24] "[MCP] 18139ed4-3181-4d90-b5fd-b99c9eeb6e59 completed Read [object Object]", source: http://kamin.localhost/claudeBridgeConsoleView (24)
[38392:40580:0901/110855.906:INFO:CONSOLE:12] "[MCP] 18139ed4-3181-4d90-b5fd-b99c9eeb6e59 pending Read [object Object]", source: http://kamin.localhost/claudeBridgeChat (12)
[38392:40580:0901/110855.906:INFO:CONSOLE:12] "[MCP] 18139ed4-3181-4d90-b5fd-b99c9eeb6e59 completed Read [object Object]", source: http://kamin.localhost/claudeBridgeChat (12)
[38392:40580:0901/110908.658:INFO:CONSOLE:24] "[MCP] 18139ed4-3181-4d90-b5fd-b99c9eeb6e59 pending Grep [object Object]", source: http://kamin.localhost/claudeBridgeConsoleView (24)
[38392:40580:0901/110908.658:INFO:CONSOLE:12] "[MCP] 18139ed4-3181-4d90-b5fd-b99c9eeb6e59 pending Grep [object Object]", source: http://kamin.localhost/claudeBridgeChat (12)
[38392:40580:0901/110910.473:INFO:CONSOLE:12] "[MCP] 18139ed4-3181-4d90-b5fd-b99c9eeb6e59 completed Grep [object Object]", source: http://kamin.localhost/claudeBridgeChat (12)
[38392:40580:0901/110910.501:INFO:CONSOLE:24] "[MCP] 18139ed4-3181-4d90-b5fd-b99c9eeb6e59 completed Grep [object Object]", source: http://kamin.localhost/claudeBridgeConsoleView (24)
[37992:26108:0901/110924.282:ERROR:net\socket\ssl_client_socket_impl.cc:963] handshake failed; returned -1, SSL error code 1, net_error -100
[37992:26108:0901/110924.330:ERROR:net\socket\ssl_client_socket_impl.cc:963] handshake failed; returned -1, SSL error code 1, net_error -100
[38392:40580:0901/110930.394:INFO:CONSOLE:12] "[MCP] 18139ed4-3181-4d90-b5fd-b99c9eeb6e59 pending Glob [object Object]", source: http://kamin.localhost/claudeBridgeChat (12)
[38392:40580:0901/110930.394:INFO:CONSOLE:24] "[MCP] 18139ed4-3181-4d90-b5fd-b99c9eeb6e59 pending Glob [object Object]", source: http://kamin.localhost/claudeBridgeConsoleView (24)
